Areaname,STCOU,Area_sqmi_2010
"Humboldt, IA",19091,434.35
"Ida, IA",19093,431.51
"Iowa, IA",19095,586.46
"Jackson, IA",19097,636.04
"Jasper, IA",19099,730.42
"Jefferson, IA",19101,435.51
"Johnson, IA",19103,614.04
"Jones, IA",19105,575.62
"Keokuk, IA",19107,579.18
"Kossuth, IA",19109,972.72
"Lee, IA",19111,517.52
"Linn, IA",19113,716.88
"Louisa, IA",19115,401.77
"Lucas, IA",19117,430.59
"Lyon, IA",19119,587.65
"Madison, IA",19121,561.01
"Mahaska, IA",19123,570.86
"Marion, IA",19125,554.53
"Marshall, IA",19127,572.5
"Mills, IA",19129,437.44
"Mitchell, IA",19131,469.13
"Monona, IA",19133,694.07
"Monroe, IA",19135,433.72
"Montgomery, IA",19137,424.1
"Muscatine, IA",19139,437.47
"O'Brien, IA",19141,573.04
"Osceola, IA",19143,398.68
"Page, IA",19145,534.94
"Palo Alto, IA",19147,563.84
"Plymouth, IA",19149,862.89
"Pocahontas, IA",19151,577.24
"Polk, IA",19153,573.8
"Pottawattamie, IA",19155,950.28
"Poweshiek, IA",19157,584.93
"Ringgold, IA",19159,535.5
"Sac, IA",19161,575.01
"Scott, IA",19163,458.09
"Shelby, IA",19165,590.78
"Sioux, IA",19167,768.33
"Story, IA",19169,572.82
"Tama, IA",19171,721.01
"Taylor, IA",19173,531.9
"Union, IA",19175,423.65
"Van Buren, IA",19177,484.79
"Wapello, IA",19179,431.83
"Warren, IA",19181,569.83
"Washington, IA",19183,568.84
"Wayne, IA",19185,525.44
"Webster, IA",19187,715.62
"Winnebago, IA",19189,400.49
"Winneshiek, IA",19191,689.87
"Woodbury, IA",19193,872.83
"Worth, IA",19195,400.12
"Wright, IA",19197,580.42
KANSAS,20000,81758.72
"Allen, KS",20001,500.3
"Anderson, KS",20003,579.65
"Atchison, KS",20005,431.17
"Barber, KS",20007,1134.07
"Barton, KS",20009,895.4
"Bourbon, KS",20011,635.47
"Brown, KS",20013,570.87
"Butler, KS",20015,1429.86
"Chase, KS",20017,773.06
"Chautauqua, KS",20019,638.88
"Cherokee, KS",20021,587.57
"Cheyenne, KS",20023,1019.89
"Clark, KS",20025,974.63
"Clay, KS",20027,645.3
"Cloud, KS",20029,715.34
"Coffey, KS",20031,626.95
"Comanche, KS",20033,788.3
"Cowley, KS",20035,1125.75
"Crawford, KS",20037,589.76
"Decatur, KS",20039,893.52
"Dickinson, KS",20041,847.07
"Doniphan, KS",20043,393.41
"Douglas, KS",20045,455.87
"Edwards, KS",20047,621.89
"Elk, KS",20049,644.27
"Ellis, KS",20051,899.91
"Ellsworth, KS",20053,715.85
"Finney, KS",20055,1301.97
"Ford, KS",20057,1098.27
"Franklin, KS",20059,571.76
"Geary, KS",20061,384.62
"Gove, KS",20063,1071.67
"Graham, KS",20065,898.52
"Grant, KS",20067,574.8
"Gray, KS",20069,868.87
"Greeley, KS",20071,778.45
"Greenwood, KS",20073,1143.3
"Hamilton, KS",20075,996.51
"Harper, KS",20077,801.27
"Harvey, KS",20079,539.75
"Haskell, KS",20081,577.52
"Hodgeman, KS",20083,859.99
"Jackson, KS",20085,656.22
"Jefferson, KS",20087,532.57
"Jewell, KS",20089,909.78
"Johnson, KS",20091,473.38
"Kearny, KS",20093,870.54
"Kingman, KS",20095,863.36
"Kiowa, KS",20097,722.64
"Labette, KS",20099,645.3
"Lane, KS",20101,717.46
"Leavenworth, KS",20103,462.83
"Lincoln, KS",20105,719.4
"Linn, KS",20107,594.06
"Logan, KS",20109,1072.99
"Lyon, KS",20111,847.47
"McPherson, KS",20113,898.27
"Marion, KS",20115,944.29
"Marshall, KS",20117,900.18
"Meade, KS",20119,978.09
"Miami, KS",20121,575.66
"Mitchell, KS",20123,701.79
"Montgomery, KS",20125,643.53
"Morris, KS",20127,695.28
"Morton, KS",20129,729.73
"Nemaha, KS",20131,717.43
"Neosho, KS",20133,571.47
"Ness, KS",20135,1074.75
"Norton, KS",20137,878.13
"Osage, KS",20139,705.52
"Osborne, KS",20141,892.5
"Ottawa, KS",20143,720.73
"Pawnee, KS",20145,754.26
"Phillips, KS",20147,885.88
"Pottawatomie, KS",20149,841.02
"Pratt, KS",20151,735.05
"Rawlins, KS",20153,1069.42
"Reno, KS",20155,1255.35
"Republic, KS",20157,717.37
"Rice, KS",20159,726.24
"Riley, KS",20161,609.77
"Rooks, KS",20163,890.53
"Rush, KS",20165,717.76
"Russell, KS",20167,886.26
"Saline, KS",20169,720.23
"Scott, KS",20171,717.54
"Sedgwick, KS",20173,997.51
"Seward, KS",20175,639.5
"Shawnee, KS",20177,544.02
"Sheridan, KS",20179,895.96
"Sherman, KS",20181,1056.07
"Smith, KS",20183,895.47
"Stafford, KS",20185,792.05
"Stanton, KS",20187,680.35
"Stevens, KS",20189,727.29
"Sumner, KS",20191,1181.94
"Thomas, KS",20193,1074.69
"Trego, KS",20195,889.48
"Wabaunsee, KS",20197,794.3
"Wallace, KS",20199,913.65
"Washington, KS",20201,894.76
"Wichita, KS",20203,718.57
"Wilson, KS",20205,570.42
"Woodson, KS",20207,497.82
"Wyandotte, KS",20209,151.6
KENTUCKY,21000,39486.34
"Adair, KY",21001,405.28
"Allen, KY",21003,344.34
"Anderson, KY",21005,201.83
"Ballard, KY",21007,246.66
"Barren, KY",21009,487.54
"Bath, KY",21011,278.79
"Bell, KY",21013,359
"Boone, KY",21015,246.36
"Bourbon, KY",21017,289.72
"Boyd, KY",21019,159.86
"Boyle, KY",21021,180.17
"Bracken, KY",21023,205.61
"Breathitt, KY",21025,492.41
"Breckinridge, KY",21027,567.17
"Bullitt, KY",21029,297.02
"Butler, KY",21031,426.09
"Caldwell, KY",21033,344.79
"Calloway, KY",21035,385.02
"Campbell, KY",21037,151.31
"Carlisle, KY",21039,189.43
"Carroll, KY",21041,128.57
"Carter, KY",21043,409.5
"Casey, KY",21045,444.23
"Christian, KY",21047,717.5
"Clark, KY",21049,252.46
"Clay, KY",21051,469.25
"Clinton, KY",21053,197.25
"Crittenden, KY",21055,359.95
"Cumberland, KY",21057,305.18
"Daviess, KY",21059,458.35
"Edmonson, KY",21061,302.88
"Elliott, KY",21063,234.32
"Estill, KY",21065,253.08
"Fayette, KY",21067,283.65
"Fleming, KY",21069,348.54
"Floyd, KY",21071,393.35
"Franklin, KY",21073,207.75
"Fulton, KY",21075,205.5
"Gallatin, KY",21077,101.23
"Garrard, KY",21079,230.08
"Grant, KY",21081,257.97
"Graves, KY",21083,551.74
"Grayson, KY",21085,496.7
"Green, KY",21087,286.03
"Greenup, KY",21089,344.4
"Hancock, KY",21091,187.65
"Hardin, KY",21093,623.28
"Harlan, KY",21095,465.83
"Harrison, KY",21097,306.36
"Hart, KY",21099,412.09
"Henderson, KY",21101,436.67
"Henry, KY",21103,286.28
"Hickman, KY",21105,242.27
"Hopkins, KY",21107,542
"Jackson, KY",21109,345.2
"Jefferson, KY",21111,380.42
"Jessamine, KY",21113,172.12
"Johnson, KY",21115,261.95
"Kenton, KY",21117,160.25
"Knott, KY",21119,351.52
"Knox, KY",21121,386.3
"Larue, KY",21123,261.52
"Laurel, KY",21125,433.95
"Lawrence, KY",21127,415.6
"Lee, KY",21129,208.86
"Leslie, KY",21131,400.84
"Letcher, KY",21133,337.91
"Lewis, KY",21135,482.84
"Lincoln, KY",21137,334.1
"Livingston, KY",21139,313.13
"Logan, KY",21141,552.13
"Lyon, KY",21143,213.84
"McCracken, KY",21145,248.74
"McCreary, KY",21147,426.8
"McLean, KY",21149,252.47
"Madison, KY",21151,437.29
"Magoffin, KY",21153,308.44
"Marion, KY",21155,343.01
"Marshall, KY",21157,301.25
"Martin, KY",21159,229.61
"Mason, KY",21161,240.13
"Meade, KY",21163,305.42
"Menifee, KY",21165,203.59
"Mercer, KY",21167,248.8
"Metcalfe, KY",21169,289.65
"Monroe, KY",21171,329.37
"Montgomery, KY",21173,197.37
"Morgan, KY",21175,381.13
"Muhlenberg, KY",21177,467.08
"Nelson, KY",21179,417.51
"Nicholas, KY",21181,195.17
"Ohio, KY",21183,587.27
"Oldham, KY",21185,187.22
"Owen, KY",21187,351.1
"Owsley, KY",21189,197.41
"Pendleton, KY",21191,277.16
"Perry, KY",21193,339.67
"Pike, KY",21195,786.83
"Powell, KY",21197,178.98
"Pulaski, KY",21199,658.41
"Robertson, KY",21201,99.91
"Rockcastle, KY",21203,316.55
"Rowan, KY",21205,279.8
"Russell, KY",21207,253.66
"Scott, KY",21209,281.77
"Shelby, KY",21211,379.64
"Simpson, KY",21213,234.2
"Spencer, KY",21215,186.68
"Taylor, KY",21217,266.33
"Todd, KY",21219,374.5
"Trigg, KY",21221,441.43
"Trimble, KY",21223,151.65
"Union, KY",21225,342.85
"Warren, KY",21227,541.6
"Washington, KY",21229,297.27
"Wayne, KY",21231,458.17
"Webster, KY",21233,331.94
"Whitley, KY",21235,437.83
"Wolfe, KY",21237,222.17
"Woodford, KY",21239,188.78
LOUISIANA,22000,43203.9
"Acadia, LA",22001,655.12
"Allen, LA",22003,761.85
"Ascension, LA",22005,289.98
"Assumption, LA",22007,338.66
"Avoyelles, LA",22009,832.43
"Beauregard, LA",22011,1157.34
"Bienville, LA",22013,811.27
"Bossier, LA",22015,840.06
"Caddo, LA",22017,878.54
"Calcasieu, LA",22019,1063.66
"Caldwell, LA",22021,529.43
"Cameron, LA",22023,1284.89
"Catahoula, LA",22025,708.03
"Claiborne, LA",22027,754.88
"Concordia, LA",22029,696.92
"De Soto, LA",22031,875.58
"East Baton Rouge, LA",22033,455.37
"East Carroll, LA",22035,420.7
"East Feliciana, LA",22037,453.41
"Evangeline, LA",22039,662.38
"Franklin, LA",22041,624.59
"Grant, LA",22043,643.03
"Iberia, LA",22045,574.11
"Iberville, LA",22047,618.63
"Jackson, LA",22049,569.18
"Jefferson, LA",22051,295.63
"Jefferson Davis, LA",22053,651.33
"Lafayette, LA",22055,268.72
"Lafourche, LA",22057,1068.21
"La Salle, LA",22059,624.68
"Lincoln, LA",22061,471.74
"Livingston, LA",22063,648.17
"Madison, LA",22065,624.44
"Morehouse, LA",22067,794.93
"Natchitoches, LA",22069,1252.25
"Orleans, LA",22071,169.42
"Ouachita, LA",22073,610.41
"Plaquemines, LA",22075,779.91
"Pointe Coupee, LA",22077,557.35
"Rapides, LA",22079,1317.96
"Red River, LA",22081,389.09
"Richland, LA",22083,559.04
"Sabine, LA",22085,866.66
"St. Bernard, LA",22087,377.52
"St. Charles, LA",22089,279.08
"St. Helena, LA",22091,408.4
"St. James, LA",22093,241.54
"St. John the Baptist, LA",22095,213.07
"St. Landry, LA",22097,923.88
"St. Martin, LA",22099,737.65
"St. Mary, LA",22101,555.38
"St. Tammany, LA",22103,845.55
"Tangipahoa, LA",22105,791.28
"Tensas, LA",22107,602.78
"Terrebonne, LA",22109,1231.82
"Union, LA",22111,876.99
"Vermilion, LA",22113,1173.2
"Vernon, LA",22115,1327.91
"Washington, LA",22117,669.53
"Webster, LA",22119,593.03
"West Baton Rouge, LA",22121,192.39
"West Carroll, LA",22123,359.65
"West Feliciana, LA",22125,403.21
"Winn, LA",22127,950.09
MAINE,23000,30842.92
"Androscoggin, ME",23001,467.93
"Aroostook, ME",23003,6671.33
"Cumberland, ME",23005,835.24
"Franklin, ME",23007,1696.61
"Hancock, ME",23009,1586.89
"Kennebec, ME",23011,867.52
"Knox, ME",23013,365.13
"Lincoln, ME",23015,455.82
"Oxford, ME",23017,2076.84
"Penobscot, ME",23019,3397.36
"Piscataquis, ME",23021,3960.86
"Sagadahoc, ME",23023,253.7
"Somerset, ME",23025,3924.4
"Waldo, ME",23027,729.92
"Washington, ME",23029,2562.66
"York, ME",23031,990.71
MARYLAND,24000,9707.24
"Allegany, MD",24001,424.16
"Anne Arundel, MD",24003,414.9
"Baltimore, MD",24005,598.3
"Calvert, MD",24009,213.15
"Caroline, MD",24011,319.42
"Carroll, MD",24013,447.6
"Cecil, MD",24015,346.27
"Charles, MD",24017,457.75
"Dorchester, MD",24019,540.77
"Frederick, MD",24021,660.22
"Garrett, MD",24023,647.1
"Harford, MD",24025,437.09
"Howard, MD",24027,250.74
"Kent, MD",24029,277.03
"Montgomery, MD",24031,491.25
"Prince George's, MD",24033,482.69
"Queen Anne's, MD",24035,371.91
"St. Mary's, MD",24037,357.18
"Somerset, MD",24039,319.72
"Talbot, MD",24041,268.54
"Washington, MD",24043,457.78
"Wicomico, MD",24045,374.44
"Worcester, MD",24047,468.28
"Baltimore city, MD",24510,80.94
MASSACHUSETTS,25000,7800.06
"Barnstable, MA",25001,393.72
"Berkshire, MA",25003,926.83
"Bristol, MA",25005,553.1
"Dukes, MA",25007,103.25
"Essex, MA",25009,492.56
"Franklin, MA",25011,699.32
"Hampden, MA",25013,617.14
"Hampshire, MA",25015,527.26
"Middlesex, MA",25017,817.82
"Nantucket, MA",25019,44.97
"Norfolk, MA",25021,396.11
"Plymouth, MA",25023,659.08
"Suffolk, MA",25025,58.15
"Worcester, MA",25027,1510.77
MICHIGAN,26000,56538.9
"Alcona, MI",26001,674.59
"Alger, MI",26003,915.07
"Allegan, MI",26005,825.23
"Alpena, MI",26007,571.86
"Antrim, MI",26009,475.7
"Arenac, MI",26011,363.19
"Baraga, MI",26013,898.26
"Barry, MI",26015,553.09
"Bay, MI",26017,442.3
"Benzie, MI",26019,319.7
"Berrien, MI",26021,567.75
"Branch, MI",26023,506.37
"Calhoun, MI",26025,706.23
"Cass, MI",26027,490.06
"Charlevoix, MI",26029,416.34
"Cheboygan, MI",26031,715.26
"Chippewa, MI",26033,1558.42
"Clare, MI",26035,564.32
"Clinton, MI",26037,566.41
"Crawford, MI",26039,556.28
"Delta, MI",26041,1171.1
"Dickinson, MI",26043,761.4
"Eaton, MI",26045,575.18
"Emmet, MI",26047,467.49
"Genesee, MI",26049,636.98
"Gladwin, MI",26051,501.78
"Gogebic, MI",26053,1101.85
"Grand Traverse, MI",26055,464.33
"Gratiot, MI",26057,568.46
"Hillsdale, MI",26059,598.13
"Houghton, MI",26061,1009.1
"Huron, MI",26063,835.71
"Ingham, MI",26065,556.12
"Ionia, MI",26067,571.3
"Iosco, MI",26069,549.1
"Iron, MI",26071,1166.15
"Isabella, MI",26073,572.68
"Jackson, MI",26075,701.67
"Kalamazoo, MI",26077,561.66
"Kalkaska, MI",26079,559.87
"Kent, MI",26081,846.95
"Keweenaw, MI",26083,540.11
"Lake, MI",26085,567.37
"Lapeer, MI",26087,643.01
"Leelanau, MI",26089,347.17
"Lenawee, MI",26091,749.56
"Livingston, MI",26093,565.25
"Luce, MI",26095,899.08
"Mackinac, MI",26097,1021.57
"Macomb, MI",26099,479.22
"Manistee, MI",26101,542.15
"Marquette, MI",26103,1808.4
"Mason, MI",26105,495.07
"Mecosta, MI",26107,555.07
"Menominee, MI",26109,1044.08
"Midland, MI",26111,516.25
"Missaukee, MI",26113,564.73
"Monroe, MI",26115,549.39
"Montcalm, MI",26117,705.4
"Montmorency, MI",26119,546.66
"Muskegon, MI",26121,499.25
"Newaygo, MI",26123,813.2
"Oakland, MI",26125,867.66
"Oceana, MI",26127,512.07
"Ogemaw, MI",26129,563.49
"Ontonagon, MI",26131,1311.23
"Osceola, MI",26133,566.39
"Oscoda, MI",26135,565.73
"Otsego, MI",26137,514.97
"Ottawa, MI",26139,563.47
"Presque Isle, MI",26141,658.72
"Roscommon, MI",26143,519.64
"Saginaw, MI",26145,800.11
"St. Clair, MI",26147,721.17
"St. Joseph, MI",26149,500.59
"Sanilac, MI",26151,962.57
"Schoolcraft, MI",26153,1171.36
"Shiawassee, MI",26155,530.67
"Tuscola, MI",26157,803.13
"Van Buren, MI",26159,607.47
"Washtenaw, MI",26161,705.97
"Wayne, MI",26163,612.08
"Wexford, MI",26165,565
MINNESOTA,27000,79626.74
"Aitkin, MN",27001,1821.66
"Anoka, MN",27003,423.01
"Becker, MN",27005,1315.2
"Beltrami, MN",27007,2504.94
"Benton, MN",27009,408.3
"Big Stone, MN",27011,499.02
"Blue Earth, MN",27013,747.84
"Brown, MN",27015,611.09
"Carlton, MN",27017,861.38
"Carver, MN",27019,354.33
"Cass, MN",27021,2021.54
"Chippewa, MN",27023,581.12
"Chisago, MN",27025,414.86
"Clay, MN",27027,1045.37
"Clearwater, MN",27029,998.94
"Cook, MN",27031,1452.28
"Cottonwood, MN",27033,638.61
"Crow Wing, MN",27035,999.1
"Dakota, MN",27037,562.17
"Dodge, MN",27039,439.28
"Douglas, MN",27041,637.3
"Faribault, MN",27043,712.48
"Fillmore, MN",27045,861.3
"Freeborn, MN",27047,707.09
"Goodhue, MN",27049,756.84
"Grant, MN",27051,548.16
"Hennepin, MN",27053,553.59
"Houston, MN",27055,552.06
"Hubbard, MN",27057,925.68
"Isanti, MN",27059,435.79
"Itasca, MN",27061,2667.72
"Jackson, MN",27063,702.98
"Kanabec, MN",27065,521.59
"Kandiyohi, MN",27067,796.79
"Kittson, MN",27069,1098.8
"Koochiching, MN",27071,3104.07
"Lac qui Parle, MN",27073,765.02
"Lake, MN",27075,2109.29
"Lake of the Woods, MN",27077,1297.87
"Le Sueur, MN",27079,448.76
"Lincoln, MN",27081,536.76
"Lyon, MN",27083,714.56
"McLeod, MN",27085,491.47
"Mahnomen, MN",27087,557.88
"Marshall, MN",27089,1775.07
"Martin, MN",27091,712.35
"Meeker, MN",27093,608.18
"Mille Lacs, MN",27095,572.31
"Morrison, MN",27097,1125.06
"Mower, MN",27099,711.33
"Murray, MN",27101,704.7
"Nicollet, MN",27103,448.49
"Nobles, MN",27105,715.11
"Norman, MN",27107,872.79
"Olmsted, MN",27109,653.35
"Otter Tail, MN",27111,1972.07
"Pennington, MN",27113,616.57
"Pine, MN",27115,1411.29
"Pipestone, MN",27117,465.06
"Polk, MN",27119,1971.13
"Pope, MN",27121,669.71
"Ramsey, MN",27123,152.21
"Red Lake, MN",27125,432.41
"Redwood, MN",27127,878.57
"Renville, MN",27129,982.91
"Rice, MN",27131,495.68
"Rock, MN",27133,482.46
"Roseau, MN",27135,1671.6
"St. Louis, MN",27137,6247.4
"Scott, MN",27139,356.48
"Sherburne, MN",27141,432.92
"Sibley, MN",27143,588.78
"Stearns, MN",27145,1343.13
"Steele, MN",27147,429.65
"Stevens, MN",27149,563.6
"Swift, MN",27151,742.08
"Todd, MN",27153,944.98
"Traverse, MN",27155,573.9
"Wabasha, MN",27157,522.98
"Wadena, MN",27159,536.27
"Waseca, MN",27161,423.36
"Washington, MN",27163,384.28
"Watonwan, MN",27165,434.95
"Wilkin, MN",27167,750.96
"Winona, MN",27169,626.21
"Wright, MN",27171,661.46
"Yellow Medicine, MN",27173,759.1
MISSISSIPPI,28000,46923.27
"Adams, MS",28001,462.41
"Alcorn, MS",28003,400.04
"Amite, MS",28005,730.1
"Attala, MS",28007,734.98
"Benton, MS",28009,406.62
"Bolivar, MS",28011,876.57
"Calhoun, MS",28013,586.57
"Carroll, MS",28015,628.24
"Chickasaw, MS",28017,501.78
"Choctaw, MS",28019,418.18
"Claiborne, MS",28021,487.41
"Clarke, MS",28023,691.55
"Clay, MS",28025,410.08
"Coahoma, MS",28027,552.44
"Copiah, MS",28029,777.24
"Covington, MS",28031,413.79
"DeSoto, MS",28033,476.15
"Forrest, MS",28035,466.31
"Franklin, MS",28037,563.78
"George, MS",28039,478.71
"Greene, MS",28041,712.76
"Grenada, MS",28043,422.11
"Hancock, MS",28045,473.75
"Harrison, MS",28047,573.99
"Hinds, MS",28049,869.74
"Holmes, MS",28051,756.7
"Humphreys, MS",28053,418.49
"Issaquena, MS",28055,413.05
"Itawamba, MS",28057,532.79
"Jackson, MS",28059,722.75
"Jasper, MS",28061,676.24
"Jefferson, MS",28063,519.93
"Jefferson Davis, MS",28065,408.44
"Jones, MS",28067,694.8
"Kemper, MS",28069,766.18
"Lafayette, MS",28071,631.71
"Lamar, MS",28073,497.06
"Lauderdale, MS",28075,703.63
"Lawrence, MS",28077,430.67
"Leake, MS",28079,583
"Lee, MS",28081,449.95
"Leflore, MS",28083,592.54
"Lincoln, MS",28085,586.12
"Lowndes, MS",28087,505.51
"Madison, MS",28089,714.51
"Marion, MS",28091,542.38
"Marshall, MS",28093,706.19
"Monroe, MS",28095,765.09
"Montgomery, MS",28097,406.98
"Neshoba, MS",28099,570.14
"Newton, MS",28101,578.1
"Noxubee, MS",28103,695.14
"Oktibbeha, MS",28105,458.2
"Panola, MS",28107,685.14
"Pearl River, MS",28109,810.86
"Perry, MS",28111,647.25
"Pike, MS",28113,409.02
"Pontotoc, MS",28115,497.69
"Prentiss, MS",28117,414.98
"Quitman, MS",28119,405.01
"Rankin, MS",28121,775.49
"Scott, MS",28123,609.19
"Sharkey, MS",28125,431.72
"Simpson, MS",28127,589.16
"Smith, MS",28129,636.25
"Stone, MS",28131,445.49
"Sunflower, MS",28133,697.75
"Tallahatchie, MS",28135,645.29
"Tate, MS",28137,404.76
"Tippah, MS",28139,457.82
"Tishomingo, MS",28141,424.25
"Tunica, MS",28143,454.67
"Union, MS",28145,415.6
"Walthall, MS",28147,403.94
"Warren, MS",28149,588.5
"Washington, MS",28151,724.74
"Wayne, MS",28153,810.75
"Webster, MS",28155,420.94
"Wilkinson, MS",28157,678.11
"Winston, MS",28159,607.25
"Yalobusha, MS",28161,467.13
"Yazoo, MS",28163,922.95
MISSOURI,29000,68741.52
"Adair, MO",29001,567.32
"Andrew, MO",29003,432.7
"Atchison, MO",29005,547.3
"Audrain, MO",29007,692.24
"Barry, MO",29009,778.25
"Barton, MO",29011,591.92
"Bates, MO",29013,836.69
"Benton, MO",29015,704.06
"Bollinger, MO",29017,617.91
"Boone, MO",29019,685.41
"Buchanan, MO",29021,408.03
"Butler, MO",29023,694.67
"Caldwell, MO",29025,426.39
"Callaway, MO",29027,834.58
"Camden, MO",29029,655.92
"Cape Girardeau, MO",29031,578.54
"Carroll, MO",29033,694.62
"Carter, MO",29035,507.36
"Cass, MO",29037,696.84
"Cedar, MO",29039,474.48
"Chariton, MO",29041,751.18
"Christian, MO",29043,562.65
"Clark, MO",29045,504.69
"Clay, MO",29047,397.3
"Clinton, MO",29049,418.96
"Cole, MO",29051,393.75
"Cooper, MO",29053,564.77
"Crawford, MO",29055,742.52
"Dade, MO",29057,490.01
"Dallas, MO",29059,540.77
"Daviess, MO",29061,563.24
"DeKalb, MO",29063,421.36
"Dent, MO",29065,752.79
"Douglas, MO",29067,813.63
"Dunklin, MO",29069,541.07
"Franklin, MO",29071,922.68
"Gasconade, MO",29073,517.8
"Gentry, MO",29075,491.42
"Greene, MO",29077,675.3
"Grundy, MO",29079,435.28
"Harrison, MO",29081,722.5
"Henry, MO",29083,696.95
"Hickory, MO",29085,399.09
"Holt, MO",29087,462.69
"Howard, MO",29089,463.85
"Howell, MO",29091,927.25
"Iron, MO",29093,550.26
"Jackson, MO",29095,604.46
"Jasper, MO",29097,638.49
"Jefferson, MO",29099,656.63
"Johnson, MO",29101,829.28
"Knox, MO",29103,504.01
"Laclede, MO",29105,764.72
"Lafayette, MO",29107,628.43
"Lawrence, MO",29109,611.74
"Lewis, MO",29111,505.04
"Lincoln, MO",29113,626.56
"Linn, MO",29115,615.56
"Livingston, MO",29117,532.33
"McDonald, MO",29119,539.48
"Macon, MO",29121,801.23
"Madison, MO",29123,494.39
"Maries, MO",29125,526.98
"Marion, MO",29127,436.92
"Mercer, MO",29129,453.84
"Miller, MO",29131,592.6
"Mississippi, MO",29133,411.58
"Moniteau, MO",29135,415.03
"Monroe, MO",29137,647.65
"Montgomery, MO",29139,536.25
"Morgan, MO",29141,597.63
"New Madrid, MO",29143,674.84
"Newton, MO",29145,624.77
"Nodaway, MO",29147,876.96
"Oregon, MO",29149,789.8
"Osage, MO",29151,604.35
"Ozark, MO",29153,744.97
"Pemiscot, MO",29155,492.54
"Perry, MO",29157,474.35
"Pettis, MO",29159,682.22
"Phelps, MO",29161,671.78
"Pike, MO",29163,670.44
"Platte, MO",29165,420.19
"Polk, MO",29167,635.52
"Pulaski, MO",29169,547.1
"Putnam, MO",29171,517.32
"Ralls, MO",29173,469.78
"Randolph, MO",29175,482.68
"Ray, MO",29177,568.81
"Reynolds, MO",29179,808.48
"Ripley, MO",29181,629.54
"St. Charles, MO",29183,560.44
"St. Clair, MO",29185,669.98
"Ste. Genevieve, MO",29186,499.15
"St. Francois, MO",29187,451.89
"St. Louis, MO",29189,507.8
"Saline, MO",29195,755.5
"Schuyler, MO",29197,307.3
"Scotland, MO",29199,436.67
"Scott, MO",29201,419.99
"Shannon, MO",29203,1003.82
"Shelby, MO",29205,500.86
"Stoddard, MO",29207,823.22
"Stone, MO",29209,464.03
"Sullivan, MO",29211,647.98
"Taney, MO",29213,632.44
"Texas, MO",29215,1177.27
"Vernon, MO",29217,826.4
"Warren, MO",29219,428.6
"Washington, MO",29221,759.91
"Wayne, MO",29223,759.18
"Webster, MO",29225,592.56
"Worth, MO",29227,266.61
"Wright, MO",29229,681.77
"St. Louis city, MO",29510,61.91
MONTANA,30000,145545.8
"Beaverhead, MT",30001,5541.62
"Big Horn, MT",30003,4995.46
"Blaine, MT",30005,4227.55
"Broadwater, MT",30007,1192.54
"Carbon, MT",30009,2048.79
"Carter, MT",30011,3340.75
"Cascade, MT",30013,2698.16
"Chouteau, MT",30015,3972.49
"Custer, MT",30017,3783.36
"Daniels, MT",30019,1426.11
"Dawson, MT",30021,2371.87
"Deer Lodge, MT",30023,736.53
"Fallon, MT",30025,1620.77
"Fergus, MT",30027,4339.8
"Flathead, MT",30029,5087.66
"Gallatin, MT",30031,2602.69
"Garfield, MT",30033,4675.36
"Glacier, MT",30035,2995.94
"Golden Valley, MT",30037,1175.34
"Granite, MT",30039,1727.42
"Hill, MT",30041,2898.96
"Jefferson, MT",30043,1656.26
"Judith Basin, MT",30045,1869.82
"Lake, MT",30047,1490.15
"Lewis and Clark, MT",30049,3458.83
"Liberty, MT",30051,1430.05
"Lincoln, MT",30053,3612.92
"McCone, MT",30055,2643.17
"Madison, MT",30057,3587.48
"Meagher, MT",30059,2391.91
"Mineral, MT",30061,1219.44
"Missoula, MT",30063,2593.42
"Musselshell, MT",30065,1868.16
"Park, MT",30067,2803.06
"Petroleum, MT",30069,1654.87
"Phillips, MT",30071,5140.04
"Pondera, MT",30073,1622.86
"Powder River, MT",30075,3297.3
"Powell, MT",30077,2326.39
"Prairie, MT",30079,1736.74
"Ravalli, MT",30081,2390.82
"Richland, MT",30083,2084.14
"Roosevelt, MT",30085,2354.79
"Rosebud, MT",30087,5010.4
"Sanders, MT",30089,2760.52
"Sheridan, MT",30091,1677.08
"Silver Bow, MT",30093,718.48
"Stillwater, MT",30095,1795.35
"Sweet Grass, MT",30097,1855.21
"Teton, MT",30099,2272.38
"Toole, MT",30101,1915.65
"Treasure, MT",30103,977.4
"Valley, MT",30105,4925.82
"Wheatland, MT",30107,1423.2
"Wibaux, MT",30109,889.27
"Yellowstone, MT",30111,2633.29
"Yellowstone National Park, MT",30113,0
NEBRASKA,31000,76824.17
"Adams, NE",31001,563.27
"Antelope, NE",31003,857.22
"Arthur, NE",31005,715.36
"Banner, NE",31007,746.11
"Blaine, NE",31009,710.87
"Boone, NE",31011,686.55
"Box Butte, NE",31013,1075.29
"Boyd, NE",31015,539.94
"Brown, NE",31017,1221.33
"Buffalo, NE",31019,968.11
"Burt, NE",31021,491.58
"Butler, NE",31023,584.91
"Cass, NE",31025,557.45
"Cedar, NE",31027,740.31
"Chase, NE",31029,894.42
"Cherry, NE",31031,5960.42
"Cheyenne, NE",31033,1196.29
"Clay, NE",31035,572.29
"Colfax, NE",31037,411.66
"Cuming, NE",31039,570.62
"Custer, NE",31041,2575.52
"Dakota, NE",31043,264.26
"Dawes, NE",31045,1396.46
"Dawson, NE",31047,1013.1
